t,vds,corrente
2.68,-0.00696528,-0.0049332
2.7,-0.0228859,-0.0118397
2.72,-0.0199008,-0.0103597
2.74,-0.0348264,-0.0177595
2.76,-0.0318413,-0.0167729
2.78,-0.0467669,-0.0236794
2.8,-0.050747,-0.0256526
2.82,-0.0398016,-0.0207194
2.84,-0.0437818,-0.0221994
2.86,-0.0288562,-0.0152929
2.88,-0.0328363,-0.0162796
2.9,-0.0169157,-0.00887976
2.92,-0.0208958,-0.0103597
2.94,-0.0049752,-0.00345324
2.96,-0.00796032,-0.00443988
2.98,0.00696528,0.00295992
3,0.00199008,0.00098664
3.02,0.0199008,0.00887976
3.04,0.0149256,0.00690648
3.06,0.0308462,0.0147996
3.08,0.0268661,0.0133196
3.1,0.0437818,0.0202261
3.12,0.0378115,0.0187462
3.14,0.0527371,0.026146
3.16,0.050747,0.024666
3.18,0.0666677,0.0320658
3.2,0.0616925,0.0310792
3.22,0.0786082,0.038479
3.24,0.074628,0.0365057
3.26,0.0895536,0.0439055
3.28,0.0845784,0.0429188
3.3,0.100499,0.049332
3.32,0.099504,0.0483454
3.34,0.0825883,0.0414389
3.36,0.0875635,0.0424255
3.38,0.0706478,0.0350257
3.4,0.074628,0.0365057
3.42,0.0597024,0.0295992
3.44,0.0626875,0.0305858
3.46,0.0457718,0.0236794
3.48,0.050747,0.0251593
3.5,0.0358214,0.0177595
3.52,0.0398016,0.0187462
3.54,0.023881,0.0118397
3.56,0.0278611,0.0133196
3.58,0.0129355,0.00591984
3.6,0.0159206,0.0073998
3.62,0.00099504,0
3.64,0.00398016,0.00147996
3.66,-0.0109454,-0.00591984
3.68,-0.00696528,-0.0049332
3.7,-0.024876,-0.0118397
3.72,-0.0199008,-0.010853
3.74,-0.0348264,-0.0177595
3.76,-0.0318413,-0.0162796
3.78,-0.0457718,-0.0236794
3.8,-0.0517421,-0.026146
3.82,-0.0398016,-0.0207194
3.84,-0.0447768,-0.0221994
3.86,-0.0278611,-0.0152929
3.88,-0.0328363,-0.0167729
3.9,-0.0169157,-0.00887976
3.92,-0.0199008,-0.0103597
3.94,-0.00398016,-0.00345324
3.96,-0.00895536,-0.00443988
3.98,0.00597024,0.0024666
4,0.00199008,0.00098664
4.02,0.0189058,0.00838644
4.04,0.0139306,0.0073998
4.06,0.0308462,0.0143063
4.08,0.0268661,0.0128263
4.1,0.0417917,0.0202261
4.12,0.0378115,0.0192395
4.14,0.0537322,0.026146
4.16,0.050747,0.0251593
4.18,0.0656726,0.0325591
4.2,0.0616925,0.0310792
4.22,0.0786082,0.0379856
4.24,0.073633,0.036999
4.26,0.0895536,0.0439055
4.28,0.0855734,0.0419322
4.3,0.099504,0.0488387
4.32,0.098509,0.0483454
4.34,0.0825883,0.0409456
4.36,0.0855734,0.0424255
4.38,0.0686578,0.035519
4.4,0.074628,0.0365057
4.42,0.0587074,0.0295992
4.44,0.0636826,0.0305858
4.46,0.0477619,0.0236794
4.48,0.050747,0.024666
4.5,0.0358214,0.0177595
4.52,0.0388066,0.0187462
4.54,0.023881,0.0118397
4.56,0.0288562,0.0128263
4.58,0.0119405,0.00591984
4.6,0.0159206,0.0073998
4.62,0,0
4.64,0.00398016,0.00147996
4.66,-0.0109454,-0.00591984
4.68,-0.00696528,-0.00443988
4.7,-0.0228859,-0.0118397
4.72,-0.0189058,-0.0103597
4.74,-0.0348264,-0.0177595
4.76,-0.0308462,-0.0167729
4.78,-0.0467669,-0.0236794
4.8,-0.0517421,-0.026146
4.82,-0.0398016,-0.0207194
4.84,-0.0437818,-0.0221994
4.86,-0.0288562,-0.0152929
4.88,-0.0328363,-0.0162796
4.9,-0.0169157,-0.00887976
4.92,-0.0208958,-0.0103597
4.94,-0.00298512,-0.00295992
4.96,-0.00796032,-0.00443988
4.98,0.00796032,0.0024666
5,0.00298512,0.00147996
5.02,0.0208958,0.00838644
5.04,0.0139306,0.0073998
5.06,0.0308462,0.0143063
5.08,0.0278611,0.0133196
5.1,0.0427867,0.0202261
5.12,0.0378115,0.0192395
5.14,0.0537322,0.026146
5.16,0.049752,0.0251593
5.18,0.0656726,0.0325591
5.2,0.0606974,0.0310792
5.22,0.0776131,0.0379856
5.24,0.074628,0.0365057
5.26,0.0885586,0.0439055
5.28,0.0855734,0.0429188
5.3,0.099504,0.049332
5.32,0.099504,0.0483454
5.34,0.0825883,0.0414389
5.36,0.0865685,0.0424255
5.38,0.0706478,0.0350257
5.4,0.074628,0.0365057
5.42,0.0587074,0.0295992
5.44,0.0636826,0.0305858
5.46,0.0467669,0.0236794
5.48,0.050747,0.0251593
5.5,0.0348264,0.0177595
5.52,0.0388066,0.0187462
5.54,0.024876,0.0118397
5.56,0.0278611,0.0133196
5.58,0.0109454,0.00591984
5.6,0.0169157,0.0073998
5.62,0.00099504,0
5.64,0.00398016,0.00147996
5.66,-0.0109454,-0.00591984
5.68,-0.00696528,-0.00443988
5.7,-0.024876,-0.0118397
5.72,-0.0199008,-0.0103597
5.74,-0.0358214,-0.0177595
5.76,-0.0318413,-0.0167729
5.78,-0.0467669,-0.023186
5.8,-0.0517421,-0.0256526
5.82,-0.0407966,-0.0207194
5.84,-0.0427867,-0.0221994
5.86,-0.0278611,-0.0152929
5.88,-0.0328363,-0.0162796
5.9,-0.0159206,-0.00887976
5.92,-0.0208958,-0.0103597
5.94,-0.0049752,-0.00345324
5.96,-0.0099504,-0.00443988
5.98,0.00696528,0.0024666
6,0.00298512,0.00147996
6.02,0.0189058,0.00838644
6.04,0.0149256,0.0073998
6.06,0.0308462,0.0143063
6.08,0.025871,0.0133196
6.1,0.0417917,0.0202261
6.12,0.0388066,0.0192395
6.14,0.0547272,0.026146
6.16,0.049752,0.0251593
6.18,0.0666677,0.0320658
6.2,0.0626875,0.0305858
6.22,0.0786082,0.038479
6.24,0.0726379,0.0365057
6.26,0.0895536,0.0439055
6.28,0.0855734,0.0424255
6.3,0.100499,0.0488387
6.32,0.0975139,0.0483454
6.34,0.0815933,0.0414389
6.36,0.0855734,0.0424255
6.38,0.0716429,0.0350257
6.4,0.073633,0.036999
6.42,0.0577123,0.0295992
6.44,0.0626875,0.0310792
6.46,0.0467669,0.0236794
6.48,0.0517421,0.024666
6.5,0.0358214,0.0177595
6.52,0.0388066,0.0187462
6.54,0.023881,0.0118397
6.56,0.0278611,0.0133196
6.58,0.0119405,0.00591984
6.6,0.0169157,0.00690648
6.62,0.00099504,0
6.64,0.00398016,0.00147996
6.66,-0.0109454,-0.00641316
6.68,-0.00696528,-0.00443988
6.7,-0.0228859,-0.0118397
6.72,-0.0169157,-0.0103597
6.74,-0.0348264,-0.0177595
6.76,-0.0318413,-0.0162796
6.78,-0.0457718,-0.0236794
6.8,-0.0517421,-0.0256526
6.82,-0.0388066,-0.0212128
6.84,-0.0427867,-0.0221994
6.86,-0.0268661,-0.0143063
6.88,-0.0328363,-0.0162796
6.9,-0.0169157,-0.00887976
6.92,-0.0218909,-0.0103597
6.94,-0.0049752,-0.00345324
6.96,-0.00796032,-0.00443988
6.98,0.00696528,0.0024666
7,0.00298512,0.00147996
7.02,0.0189058,0.00838644
7.04,0.0139306,0.0073998
7.06,0.0318413,0.0147996
7.08,0.0268661,0.0133196
7.1,0.0437818,0.0202261
7.12,0.0388066,0.0192395
7.14,0.0537322,0.026146
7.16,0.048757,0.024666
7.18,0.0656726,0.0320658
7.2,0.0606974,0.0305858
7.22,0.0776131,0.0379856
7.24,0.073633,0.0365057
7.26,0.0895536,0.0439055
7.28,0.0845784,0.0424255
7.3,0.100499,0.0488387
7.32,0.098509,0.0483454
7.34,0.0825883,0.0409456
7.36,0.0875635,0.0424255
7.38,0.0706478,0.0350257
7.4,0.0796032,0.0365057
7.42,0.0597024,0.0295992
7.44,0.0626875,0.0305858
7.46,0.0477619,0.0236794
7.48,0.050747,0.024666
7.5,0.0348264,0.0177595
7.52,0.0398016,0.0192395
7.54,0.0228859,0.0118397
7.56,0.0288562,0.0133196
7.58,0.0119405,0.00591984
7.6,0.0189058,0.0073998
7.62,0.00099504,0
7.64,0.00398016,0.00147996
7.66,-0.0119405,-0.00591984
7.68,-0.00696528,-0.00443988
7.7,-0.024876,-0.0118397
7.72,-0.0199008,-0.010853
7.74,-0.0358214,-0.0177595
7.76,-0.0308462,-0.0167729
7.78,-0.0477619,-0.0236794
7.8,-0.050747,-0.0256526
7.82,-0.0398016,-0.0212128
7.84,-0.0447768,-0.0221994
7.86,-0.0288562,-0.0147996
7.88,-0.0318413,-0.0162796
7.9,-0.0169157,-0.00887976
7.92,-0.0199008,-0.010853
7.94,-0.00398016,-0.00345324
7.96,-0.00796032,-0.00443988
7.98,0.00796032,0.00295992
8,0.00298512,0.00098664
8.02,0.0189058,0.00887976
8.04,0.0129355,0.0073998
8.06,0.0308462,0.0143063
8.08,0.0278611,0.0133196
8.1,0.0417917,0.0207194
8.12,0.0378115,0.0192395
8.14,0.0537322,0.026146
8.16,0.0477619,0.0251593
8.18,0.0666677,0.0320658
8.2,0.0626875,0.0305858
8.22,0.0776131,0.0379856
8.24,0.073633,0.0365057
8.26,0.0895536,0.0439055
8.28,0.0835834,0.0424255
8.3,0.099504,0.0488387
8.32,0.0975139,0.0483454
8.34,0.0825883,0.0414389
8.36,0.0865685,0.0424255
8.38,0.0706478,0.035519
8.4,0.074628,0.0365057
8.42,0.0597024,0.0295992
8.44,0.0636826,0.0305858
8.46,0.0477619,0.0236794
8.48,0.0517421,0.0251593
8.5,0.0358214,0.0177595
8.52,0.0398016,0.0192395
8.54,0.024876,0.0118397
8.56,0.0288562,0.0128263
8.58,0.0119405,0.00542652
8.6,0.0169157,0.0073998
8.62,0,0
8.64,0.00398016,0.00098664
8.66,-0.0119405,-0.00591984
8.68,-0.00597024,-0.0049332
8.7,-0.023881,-0.0118397
8.72,-0.0189058,-0.0103597
8.74,-0.0358214,-0.0177595
8.76,-0.0308462,-0.0162796
8.78,-0.0467669,-0.0236794
8.8,-0.050747,-0.026146
8.82,-0.0407966,-0.0207194
8.84,-0.0437818,-0.0221994
8.86,-0.0288562,-0.0147996
8.88,-0.0328363,-0.0162796
8.9,-0.0159206,-0.00937308
8.92,-0.0208958,-0.0103597
8.94,-0.0049752,-0.00295992
8.96,-0.00796032,-0.00443988
8.98,0.00696528,0.0024666
9,0.00298512,0.00098664
9.02,0.0179107,0.00838644
9.04,0.0139306,0.0073998
9.06,0.0308462,0.0143063
9.08,0.025871,0.0133196
9.1,0.0417917,0.0202261
9.12,0.0378115,0.0192395
9.14,0.0567173,0.026146
9.16,0.048757,0.024666
9.18,0.0666677,0.0320658
9.2,0.0606974,0.0305858
9.22,0.0766181,0.0379856
9.24,0.073633,0.0365057
9.26,0.0895536,0.0439055
9.28,0.0855734,0.0424255
9.3,0.100499,0.049332
9.32,0.098509,0.0483454
9.34,0.0815933,0.0414389
9.36,0.0865685,0.0424255
9.38,0.0716429,0.035519
9.4,0.0766181,0.0365057
9.42,0.0587074,0.0295992
9.44,0.0636826,0.0305858
9.46,0.0477619,0.0236794
9.48,0.0517421,0.024666
9.5,0.0348264,0.0177595
9.52,0.0398016,0.0187462
9.54,0.024876,0.0118397
9.56,0.0288562,0.0128263
9.58,0.0109454,0.00591984
9.6,0.0159206,0.00690648
9.62,0,0
9.64,0.00398016,0.00098664
9.66,-0.0109454,-0.00591984
9.68,-0.00696528,-0.0049332
9.7,-0.0228859,-0.0118397
9.72,-0.0189058,-0.010853
9.74,-0.0348264,-0.0177595
9.76,-0.0308462,-0.0167729
9.78,-0.0457718,-0.0236794
9.8,-0.0517421,-0.026146
9.82,-0.0388066,-0.0212128
9.84,-0.0437818,-0.0221994
9.86,-0.0288562,-0.0152929
9.88,-0.0318413,-0.0162796
9.9,-0.0169157,-0.00887976
9.92,-0.0208958,-0.010853
9.94,-0.0049752,-0.00345324
9.96,-0.00895536,-0.00443988
9.98,0.00696528,0.0024666
10,0.00298512,0.00147996
10.02,0.0199008,0.00838644
10.04,0.0149256,0.0073998
10.06,0.0298512,0.0143063
10.08,0.0268661,0.0128263
10.1,0.0417917,0.0202261
10.12,0.0378115,0.0187462
10.14,0.0537322,0.026146
10.16,0.048757,0.0241727
10.18,0.0666677,0.0320658
10.2,0.0626875,0.0310792
10.22,0.0786082,0.038479
10.24,0.074628,0.036999
10.26,0.0905486,0.0439055
10.28,0.0865685,0.0424255
10.3,0.099504,0.0488387
10.32,0.098509,0.0483454
10.34,0.0815933,0.0409456
10.36,0.0865685,0.0424255
10.38,0.0696528,0.035519
10.4,0.074628,0.0365057
10.42,0.0587074,0.0295992
10.44,0.0626875,0.0310792
10.46,0.0467669,0.0236794
10.48,0.050747,0.024666
10.5,0.0348264,0.0172662
10.52,0.0388066,0.0187462
10.54,0.024876,0.0118397
10.56,0.0288562,0.0133196
10.58,0.0119405,0.00542652
10.6,0.0169157,0.00690648
10.62,0,0
10.64,0.00398016,0.00098664
10.66,-0.0109454,-0.00641316
10.68,-0.00796032,-0.0049332
10.7,-0.0228859,-0.0118397
10.72,-0.0199008,-0.0103597
10.74,-0.0348264,-0.0177595
10.76,-0.0298512,-0.0162796
10.78,-0.0467669,-0.0241727
10.8,-0.0517421,-0.026146
10.82,-0.0407966,-0.0212128
10.84,-0.0437818,-0.0221994
10.86,-0.0278611,-0.0152929
10.88,-0.0318413,-0.0162796
10.9,-0.0159206,-0.00887976
10.92,-0.0208958,-0.0103597
10.94,-0.00298512,-0.00345324
10.96,-0.00796032,-0.00443988
10.98,0.00696528,0.00295992
11,0.00199008,0.00098664
11.02,0.0189058,0.00838644
11.04,0.0149256,0.0073998
11.06,0.0308462,0.0143063
11.08,0.025871,0.0133196
11.1,0.0427867,0.0202261
11.12,0.0368165,0.0192395
11.14,0.0547272,0.026146
11.16,0.049752,0.024666
11.18,0.0666677,0.0320658
11.2,0.0626875,0.0305858
11.22,0.0776131,0.0379856
11.24,0.073633,0.0365057
11.26,0.0895536,0.0439055
11.28,0.0855734,0.0429188
11.3,0.099504,0.049332
11.32,0.098509,0.0483454
11.34,0.0825883,0.0409456
11.36,0.0865685,0.0424255
11.38,0.0706478,0.0350257
11.4,0.075623,0.0365057
11.42,0.0587074,0.0295992
11.44,0.0636826,0.0305858
11.46,0.0477619,0.0236794
11.48,0.0517421,0.024666
11.5,0.0348264,0.0177595
11.52,0.0398016,0.0187462
11.54,0.024876,0.0118397
11.56,0.0278611,0.0128263
11.58,0.0109454,0.00542652
11.6,0.0159206,0.0073998
11.62,0,0
11.64,0.00298512,0.00147996
11.66,-0.0119405,-0.00591984
11.68,-0.00597024,-0.0049332
11.7,-0.023881,-0.0118397
11.72,-0.0189058,-0.0103597
11.74,-0.0358214,-0.0177595
11.76,-0.0298512,-0.0162796
11.78,-0.0457718,-0.0236794
11.8,-0.050747,-0.0256526
11.82,-0.0388066,-0.0207194
11.84,-0.0437818,-0.0221994
11.86,-0.0278611,-0.0152929
11.88,-0.0328363,-0.0162796
11.9,-0.0169157,-0.00937308
11.92,-0.0208958,-0.0103597
11.94,-0.00398016,-0.00345324
11.96,-0.00895536,-0.00443988
11.98,0.00696528,0.0024666
12,0.00199008,0.00147996
12.02,0.0208958,0.00838644
12.04,0.0159206,0.0073998
12.06,0.0308462,0.0143063
12.08,0.0268661,0.0133196
12.1,0.0437818,0.0207194
12.12,0.0368165,0.0187462
12.14,0.0547272,0.026146
12.16,0.049752,0.0251593
12.18,0.0656726,0.0320658
12.2,0.0616925,0.0305858
12.22,0.0776131,0.0379856
12.24,0.074628,0.036999
12.26,0.0895536,0.0439055
12.28,0.0865685,0.0429188
12.3,0.100499,0.0488387
12.32,0.098509,0.0483454
12.34,0.0825883,0.0409456
12.36,0.0865685,0.0424255
12.38,0.0706478,0.0350257
12.4,0.074628,0.0365057
12.42,0.0587074,0.0295992
12.44,0.0626875,0.0305858
12.46,0.0477619,0.0236794
12.48,0.0517421,0.0251593
12.5,0.0358214,0.0177595
12.52,0.0398016,0.0192395
12.54,0.023881,0.0118397
12.56,0.0278611,0.0128263
12.58,0.0119405,0.00591984
12.6,0.0169157,0.00690648
12.62,0.00099504,0
12.64,0.0049752,0.00098664
12.66,-0.0109454,-0.00591984
12.68,-0.00696528,-0.0049332
12.7,-0.0228859,-0.0118397
12.72,-0.0199008,-0.0103597
12.74,-0.0368165,-0.0172662
12.76,-0.0318413,-0.0162796
12.78,-0.0477619,-0.0236794
12.8,-0.0527371,-0.0256526
12.82,-0.0388066,-0.0207194
12.84,-0.0427867,-0.0221994
12.86,-0.0288562,-0.0152929
12.88,-0.0318413,-0.0162796
12.9,-0.0169157,-0.00937308
12.92,-0.0199008,-0.0103597
12.94,-0.00398016,-0.00295992
12.96,-0.00895536,-0.00443988
12.98,0.00796032,0.0024666
13,0.00398016,0.00098664
13.02,0.0189058,0.00838644
13.04,0.0139306,0.00690648
13.06,0.0308462,0.0147996
13.08,0.0268661,0.0133196
13.1,0.0417917,0.0202261
13.12,0.0388066,0.0182528
13.14,0.0537322,0.0266393
13.16,0.049752,0.0251593
13.18,0.0666677,0.0320658
13.2,0.0616925,0.0305858
13.22,0.0786082,0.0379856
13.24,0.073633,0.0365057
13.26,0.0885586,0.0439055
13.28,0.0855734,0.0424255
13.3,0.100499,0.049332
13.32,0.098509,0.0483454
13.34,0.0825883,0.0409456
13.36,0.0865685,0.0424255
13.38,0.0706478,0.035519
13.4,0.075623,0.036999
13.42,0.0577123,0.0295992
13.44,0.0636826,0.0305858
13.46,0.0467669,0.0236794
13.48,0.050747,0.0251593
13.5,0.0358214,0.0177595
13.52,0.0398016,0.0187462
13.54,0.024876,0.0118397
13.56,0.0278611,0.0133196
13.58,0.0119405,0.00591984
13.6,0.0149256,0.0073998
13.62,-0.00099504,0
13.64,0.00398016,0.00098664
13.66,-0.0129355,-0.00591984
13.68,-0.00696528,-0.00443988
13.7,-0.023881,-0.0113464
13.72,-0.0189058,-0.0103597
13.74,-0.0348264,-0.0172662
13.76,-0.0308462,-0.0162796
13.78,-0.0467669,-0.0236794
13.8,-0.050747,-0.0256526
13.82,-0.0398016,-0.0207194
13.84,-0.0437818,-0.0226927
13.86,-0.0278611,-0.0147996
13.88,-0.0328363,-0.0167729
13.9,-0.0159206,-0.00887976
13.92,-0.0199008,-0.0103597
13.94,-0.00298512,-0.00345324
13.96,-0.00895536,-0.00443988
13.98,0.00597024,0.0024666
14,0.00398016,0.00147996
14.02,0.0189058,0.00838644
14.04,0.0159206,0.0073998
14.06,0.0308462,0.0143063
14.08,0.0268661,0.0128263
14.1,0.0427867,0.0202261
14.12,0.0388066,0.0192395
14.14,0.0537322,0.0266393
14.16,0.049752,0.024666
14.18,0.0656726,0.0320658
14.2,0.0616925,0.0305858
14.22,0.0786082,0.0379856
14.24,0.073633,0.036999
14.26,0.0895536,0.0439055
14.28,0.0855734,0.0429188
14.3,0.101494,0.049332
14.32,0.098509,0.0483454
14.34,0.0835834,0.0409456
14.36,0.0865685,0.0424255
14.38,0.0716429,0.035519
14.4,0.075623,0.0365057
14.42,0.0587074,0.0295992
14.44,0.0626875,0.0305858
14.46,0.0477619,0.0236794
14.48,0.050747,0.024666
14.5,0.0358214,0.0177595
14.52,0.0398016,0.0187462
14.54,0.023881,0.0118397
14.56,0.0278611,0.0133196
14.58,0.0119405,0.00591984
14.6,0.0159206,0.00690648
14.62,0.00099504,0
14.64,0.0049752,0.00147996
14.66,-0.0109454,-0.00591984
14.68,-0.00796032,-0.0049332
14.7,-0.0228859,-0.0118397
14.72,-0.0199008,-0.0103597
14.74,-0.0358214,-0.0177595
14.76,-0.0308462,-0.0167729
14.78,-0.0477619,-0.0236794
14.8,-0.050747,-0.0256526
14.82,-0.0398016,-0.0207194
14.84,-0.0437818,-0.0221994
14.86,-0.0288562,-0.0152929
14.88,-0.0328363,-0.0162796
14.9,-0.0169157,-0.00887976
14.92,-0.0208958,-0.0103597
14.94,-0.0049752,-0.00345324
14.96,-0.00895536,-0.00443988
14.98,0.00796032,0.00295992
15,0.00199008,0.00147996
15.02,0.0199008,0.00887976
15.04,0.0159206,0.0073998
15.06,0.0308462,0.0143063
15.08,0.0268661,0.0133196
15.1,0.0417917,0.0202261
15.12,0.0388066,0.0192395
15.14,0.0537322,0.026146
15.16,0.050747,0.024666
15.18,0.0666677,0.0320658
15.2,0.0606974,0.0305858
15.22,0.0776131,0.0379856
15.24,0.073633,0.036999
15.26,0.0895536,0.0439055
15.28,0.0845784,0.0424255
15.3,0.100499,0.049332
15.32,0.098509,0.0483454
15.34,0.0835834,0.0414389
15.36,0.0875635,0.0424255
15.38,0.0716429,0.035519
15.4,0.0776131,0.036999
15.42,0.0587074,0.0291059
15.44,0.0626875,0.0310792
15.46,0.0477619,0.0236794
15.48,0.0517421,0.024666
15.5,0.0338314,0.0177595
15.52,0.0398016,0.0192395
15.54,0.024876,0.0118397
15.56,0.0298512,0.0133196
15.58,0.0129355,0.00591984
15.6,0.0169157,0.00690648
15.62,0.00099504,0
15.64,0.00398016,0.00098664
15.66,-0.0109454,-0.00591984
15.68,-0.00696528,-0.0049332
15.7,-0.023881,-0.0118397
15.72,-0.0189058,-0.010853
15.74,-0.0348264,-0.0177595
15.76,-0.0298512,-0.0162796
15.78,-0.0457718,-0.0236794
15.8,-0.050747,-0.0256526
15.82,-0.0398016,-0.0207194
15.84,-0.0437818,-0.0221994
15.86,-0.0288562,-0.0147996
15.88,-0.0328363,-0.0162796
15.9,-0.0159206,-0.00887976
15.92,-0.0208958,-0.0103597
15.94,-0.00398016,-0.00345324
15.96,-0.00796032,-0.00443988
15.98,0.00696528,0.0024666
16,0.00298512,0.00098664
16.02,0.0189058,0.00838644
16.04,0.0159206,0.0073998
16.06,0.0308462,0.0147996
16.08,0.0278611,0.0133196
16.1,0.0417917,0.0202261
16.12,0.0388066,0.0192395
16.14,0.0537322,0.026146
16.16,0.048757,0.024666
16.18,0.0666677,0.0320658
16.2,0.0616925,0.0305858
16.22,0.0766181,0.0379856
16.24,0.0726379,0.036999
16.26,0.0895536,0.0439055
16.28,0.0855734,0.0424255
16.3,0.099504,0.0488387
16.32,0.098509,0.0483454
16.34,0.0825883,0.0409456
16.36,0.0865685,0.0424255
16.38,0.0686578,0.035519
16.4,0.075623,0.0365057
16.42,0.0587074,0.0295992
16.44,0.0626875,0.0305858
16.46,0.0477619,0.0236794
16.48,0.0527371,0.024666
16.5,0.0358214,0.0177595
16.52,0.0388066,0.0187462
16.54,0.023881,0.0118397
16.56,0.0298512,0.013813
16.58,0.0119405,0.00591984
16.6,0.0169157,0.0073998
16.62,0.00099504,0
16.64,0.00398016,0.00098664
16.66,-0.0109454,-0.00591984
16.68,-0.00696528,-0.0049332
16.7,-0.0228859,-0.012333
16.72,-0.0189058,-0.0103597
16.74,-0.0348264,-0.0177595
16.76,-0.0308462,-0.0162796
16.78,-0.0467669,-0.0236794
16.8,-0.0517421,-0.0256526
16.82,-0.0388066,-0.0207194
16.84,-0.0427867,-0.0221994
16.86,-0.0278611,-0.0152929
16.88,-0.0318413,-0.0162796
16.9,-0.0169157,-0.00887976
16.92,-0.0199008,-0.0103597
16.94,-0.00398016,-0.00345324
16.96,-0.00796032,-0.00443988
16.98,0.00696528,0.0024666
17,0.00298512,0.00147996
17.02,0.0189058,0.00838644
17.04,0.0149256,0.0073998
17.06,0.0308462,0.0147996
17.08,0.025871,0.0133196
17.1,0.0427867,0.0202261
17.12,0.0388066,0.0192395
17.14,0.0537322,0.026146
17.16,0.049752,0.0251593
