t,vds,corrente
0;0.00099504;0;-0.0060335
0.02;-0.00199008;-0.00147996;-0.012067
0.04;-0.00099504;-0.00147996;-0.012067
0.06;0.0099504;0.00443988;0.0060335
0.08;-0.00099504;-0.00147996;0
0.1;0.0348264;0.0167729;-0.012067
0.12;0.0328363;0.0157862;0
0.14;0.0457718;0.0226927;-0.012067
0.16;0.0447768;0.0217061;0.0060335
0.18;0.0577123;0.0286126;-0.012067
0.2;0.0547272;0.0271326;0.0060335
0.22;0.0696528;0.0345324;-0.012067
0.24;0.0676627;0.0330524;-0.012067
0.26;0.0815933;0.0399589;0.0060335
0.28;0.0796032;0.0394656;0.0060335
0.3;0.0935338;0.0463721;-0.012067
0.32;0.098509;0.0488387;0
0.34;0.0895536;0.0448921;-0.012067
0.36;0.0915437;0.0458788;0
0.38;0.0776131;0.038479;-0.012067
0.4;0.0805982;0.0399589;0
0.42;0.0646776;0.0330524;-0.012067
0.44;0.0686578;0.0340391;0.0060335
0.46;0.0537322;0.0271326;-0.012067
0.48;0.0567173;0.0281192;0.0060335
0.5;0.0437818;0.0207194;-0.012067
0.52;0.0447768;0.0221994;-0.012067
0.54;0.0318413;0.0152929;0.0060335
0.56;0.0338314;0.0167729;0
0.58;0.0199008;0.00937308;-0.012067
0.6;0.0218909;0.0103597;0
0.62;0.00796032;0.00345324;-0.012067
0.64;0.0099504;0.00443988;-0.012067
0.66;-0.00398016;-0.0024666;0.0060335
0.68;-0.00199008;-0.00147996;0
0.7;-0.0159206;-0.00838644;-0.012067
0.72;-0.0139306;-0.0073998;0
0.74;-0.0278611;-0.0143063;-0.012067
0.76;-0.025871;-0.013813;0
0.78;-0.0388066;-0.0202261;-0.012067
0.8;-0.0368165;-0.0192395;-0.012067
0.82;-0.050747;-0.0256526;0.0060335
0.84;-0.048757;-0.0251593;-0.012067
0.86;-0.0358214;-0.0187462;0.0060335
0.88;-0.0378115;-0.0197328;0
0.9;-0.023881;-0.0128263;-0.012067
0.92;-0.025871;-0.013813;0
0.94;-0.0119405;-0.00690648;-0.012067
0.96;-0.0139306;-0.00789312;0
0.98;-0.00099504;-0.00098664;-0.012067
1;-0.00199008;-0.00197328;0
1.02;0.0119405;0.0049332;-0.012067
1.04;0.0099504;0.00394656;0
1.06;0.0228859;0.010853;-0.012067
1.08;0.0208958;0.0098664;-0.012067
1.1;0.0348264;0.0167729;0.0060335
1.12;0.0328363;0.0157862;0.0060335
1.14;0.0457718;0.0226927;-0.012067
1.16;0.0447768;0.0217061;-0.012067
1.18;0.0577123;0.0286126;0.0060335
1.2;0.0557222;0.0276259;-0.012067
1.22;0.0696528;0.0345324;0.0060335
1.24;0.0676627;0.0335458;0.0060335
1.26;0.0815933;0.0399589;-0.012067
1.28;0.0796032;0.0389723;0
1.3;0.0945288;0.0463721;-0.012067
1.32;0.098509;0.049332;-0.012067
1.34;0.0905486;0.0443988;0.0060335
1.36;0.0915437;0.0458788;-0.012067
1.38;0.0786082;0.0389723;0.0060335
1.4;0.0805982;0.0399589;0.0060335
1.42;0.0666677;0.0330524;-0.012067
1.44;0.0686578;0.0335458;0
1.46;0.0547272;0.0266393;-0.012067
1.48;0.0567173;0.0276259;0
1.5;0.0427867;0.0212128;-0.012067
1.52;0.0447768;0.0221994;0
1.54;0.0318413;0.0152929;-0.012067
1.56;0.0338314;0.0162796;0
1.58;0.0199008;0.00937308;-0.012067
1.6;0.0218909;0.0103597;0
1.62;0.00796032;0.00295992;-0.012067
1.64;0.0099504;0.00443988;0
1.66;-0.00398016;-0.00295992;-0.012067
1.68;-0.00199008;-0.00147996;0
1.7;-0.0149256;-0.00838644;-0.012067
1.72;-0.0139306;-0.0073998;0
1.74;-0.0268661;-0.0143063;-0.012067
1.76;-0.025871;-0.0133196;0
1.78;-0.0437818;-0.0202261;-0.012067
1.8;-0.0368165;-0.0192395;0
1.82;-0.049752;-0.0256526;-0.012067
1.84;-0.050747;-0.0256526;-0.012067
1.86;-0.0358214;-0.0182528;0.0060335
1.88;-0.0378115;-0.0197328;0
1.9;-0.023881;-0.0128263;-0.012067
1.92;-0.025871;-0.013813;-0.012067
1.94;-0.0119405;-0.00690648;0.0060335
1.96;-0.0149256;-0.00789312;-0.012067
1.98;-0.00099504;-0.00098664;0.0060335
2;-0.00199008;-0.00197328;0
2.02;0.0109454;0.00542652;-0.012067
2.04;0.00895536;0.00394656;0
2.06;0.023881;0.010853;-0.012067
2.08;0.0199008;0.0098664;0
2.1;0.0348264;0.0167729;-0.012067
2.12;0.0328363;0.0157862;0
2.14;0.0467669;0.0226927;-0.012067
2.16;0.0447768;0.0217061;0
2.18;0.0577123;0.0286126;-0.012067
2.2;0.0557222;0.0276259;-0.012067
2.22;0.0706478;0.0345324;0.0060335
2.24;0.0666677;0.0335458;0
2.26;0.0815933;0.0399589;-0.012067
2.28;0.0796032;0.0389723;0
2.3;0.0935338;0.0463721;-0.012067
2.32;0.098509;0.0488387;0
2.34;0.0895536;0.0443988;-0.012067
2.36;0.0925387;0.0453854;0
2.38;0.0776131;0.038479;-0.012067
2.4;0.0805982;0.0399589;-0.012067
2.42;0.0666677;0.0330524;0.0060335
2.44;0.0686578;0.0340391;0
2.46;0.0547272;0.0271326;-0.012067
2.48;0.0567173;0.0281192;0.0060335
2.5;0.0427867;0.0212128;-0.012067
2.52;0.0457718;0.0221994;0
2.54;0.0308462;0.0147996;-0.012067
2.56;0.0398016;0.0162796;0
2.58;0.0208958;0.00937308;-0.012067
2.6;0.0218909;0.0103597;0
2.62;0.00796032;0.00345324;-0.012067
2.64;0.0099504;0.00443988;0
2.66;-0.00398016;-0.0024666;-0.012067
2.68;-0.00099504;-0.00147996;0
2.7;-0.0159206;-0.00838644;-0.012067
2.72;-0.0139306;-0.0073998;0
2.74;-0.0288562;-0.0143063;-0.012067
2.76;-0.025871;-0.0133196;0
2.78;-0.0398016;-0.0202261;-0.012067
2.8;-0.0368165;-0.0192395;0
2.82;-0.049752;-0.0256526;-0.012067
2.84;-0.049752;-0.0256526;-0.012067
2.86;-0.0358214;-0.0187462;0.0060335
2.88;-0.0378115;-0.0197328;0
2.9;-0.024876;-0.0128263;-0.012067
2.92;-0.025871;-0.013813;0
2.94;-0.0119405;-0.00690648;-0.012067
2.96;-0.0139306;-0.00789312;0
2.98;0;-0.00098664;-0.012067
3;-0.00298512;-0.00197328;0
3.02;0.0119405;0.00542652;-0.012067
3.04;0.00597024;0.00394656;0
