t,vds,corrente
0,0.0368165,0.0182528
0,0.0398016,0.0192395
0,0.025871,0.012333
0,0.0288562,0.0133196
0,0.0129355,0.00641316
0,0.0159206,0.0073998
0,0.00099504,0
0,0.00398016,0.00147996
0,-0.0099504,-0.00591984
0,-0.00696528,-0.00394656
0,-0.0218909,-0.0113464
0,-0.0199008,-0.0098664
0,-0.0348264,-0.0172662
0,-0.0308462,-0.0162796
0,-0.0457718,-0.023186
0,-0.0407966,-0.026146
0,-0.0517421,-0.0212128
0,-0.0437818,-0.0221994
0,-0.0308462,-0.0152929
0,-0.0338314,-0.0167729
0,-0.0179107,-0.00937308
0,-0.0208958,-0.0103597
0,-0.00597024,-0.00394656
0,-0.00796032,-0.0049332
0,0.00597024,0.0024666
0,0.00298512,0.00098664
0,0.0179107,0.00838644
0,0.0159206,0.00690648
0,0.0298512,0.0143063
0,0.0268661,0.0128263
0,0.0407966,0.0202261
0,0.0378115,0.0187462
0,0.0527371,0.0256526
0,0.049752,0.024666
0,0.0646776,0.0315725
0,0.0606974,0.0305858
0,0.0766181,0.0379856
0,0.073633,0.0365057
0,0.0915437,0.0434122
0,0.0845784,0.0424255
0,0.100499,0.0488387
0,0.098509,0.0488387
0,0.0835834,0.0414389
0,0.0865685,0.0429188
0,0.0716429,0.0360124
0,0.074628,0.036999
0,0.0587074,0.0300925
0,0.0636826,0.0305858
0,0.048757,0.0236794
0,0.0517421,0.0251593
0,0.0348264,0.0177595
0,0.0398016,0.0197328
0,0.024876,0.012333
0,0.0278611,0.013813
0,0.0129355,0.00641316
0,0.0179107,0.0073998
0,0.00099504,0.00049332
0,0.0049752,0.00147996
0,-0.0099504,-0.00542652
0,-0.00696528,-0.00443988
0,-0.0218909,-0.0113464
0,-0.0199008,-0.0098664
0,-0.0358214,-0.0172662
0,-0.0318413,-0.0162796
0,-0.0457718,-0.023186
0,-0.0407966,-0.0256526
0,-0.050747,-0.0212128
0,-0.0457718,-0.0226927
0,-0.0288562,-0.0152929
0,-0.0328363,-0.0167729
0,-0.0139306,-0.00937308
0,-0.0208958,-0.010853
0,-0.00597024,-0.00345324
0,-0.00895536,-0.0049332
0,0.00696528,0.00197328
0,0.00298512,0.00098664
0,0.0179107,0.00789312
0,0.0139306,0.0073998
0,0.0288562,0.0143063
0,0.025871,0.0128263
0,0.0407966,0.0197328
0,0.0368165,0.0187462
0,0.0527371,0.026146
0,0.049752,0.024666
0,0.0646776,0.0320658
0,0.0616925,0.0305858
0,0.0766181,0.0379856
0,0.073633,0.0365057
0,0.0895536,0.0434122
0,0.0855734,0.0424255
0,0.099504,0.049332
0,0.099504,0.0488387
0,0.0835834,0.0414389
0,0.0865685,0.0424255
0,0.0726379,0.035519
0,0.074628,0.036999
0,0.0597024,0.0295992
0,0.0636826,0.0315725
0,0.0477619,0.0241727
0,0.050747,0.0251593
0,0.0358214,0.0177595
0,0.0398016,0.0192395
0,0.024876,0.012333
0,0.0288562,0.013813
0,0.0139306,0.00641316
0,0.0159206,0.0073998
0,0.00199008,0.00049332
0,0.0049752,0.00147996
0,-0.0099504,-0.00542652
0,-0.00597024,-0.00443988
0,-0.0218909,-0.0113464
0,-0.0199008,-0.0098664
0,-0.0348264,-0.0172662
0,-0.0318413,-0.0162796
0,-0.0457718,-0.0236794
0,-0.050747,-0.0256526
0,-0.0398016,-0.0212128
0,-0.0457718,-0.0226927
0,-0.0268661,-0.0152929
0,-0.0328363,-0.0167729
0,-0.0179107,-0.00937308
0,-0.0208958,-0.010853
0,-0.00597024,-0.00345324
0,-0.0099504,-0.00443988
0,0.00597024,0.0024666
0,0.00099504,0.00098664
0,0.0189058,0.00838644
0,0.0139306,0.0073998
0,0.0308462,0.0143063
0,0.025871,0.0128263
0,0.0407966,0.0202261
0,0.0378115,0.0187462
0,0.0527371,0.026146
0,0.049752,0.024666
0,0.0646776,0.0320658
0,0.0616925,0.0305858
0,0.0766181,0.0374923
0,0.074628,0.0365057
0,0.0895536,0.0439055
0,0.0855734,0.0424255
0,0.099504,0.049332
0,0.098509,0.0488387
0,0.0845784,0.0414389
0,0.0865685,0.0429188
0,0.0716429,0.0360124
0,0.074628,0.036999
0,0.0597024,0.0300925
0,0.0636826,0.0310792
0,0.048757,0.0241727
0,0.050747,0.0251593
0,0.0348264,0.0182528
0,0.0388066,0.0192395
0,0.024876,0.0118397
0,0.0288562,0.0133196
0,0.0129355,0.00641316
0,0.0159206,0.0073998
0,0.00199008,0
0,0.00398016,0.00147996
0,-0.0099504,-0.00641316
0,-0.00696528,-0.00443988
0,-0.0228859,-0.0118397
0,-0.0189058,-0.0098664
0,-0.0348264,-0.0172662
0,-0.0308462,-0.0162796
0,-0.0457718,-0.023186
0,-0.0407966,-0.0256526
0,-0.050747,-0.0212128
0,-0.0437818,-0.0221994
0,-0.0288562,-0.0152929
0,-0.0318413,-0.0167729
0,-0.0169157,-0.00937308
0,-0.0208958,-0.010853
0,-0.00597024,-0.00394656
0,-0.00895536,-0.0049332
0,0.00696528,0.0024666
0,0.00298512,0.00098664
0,0.0179107,0.00838644
0,0.0139306,0.00690648
0,0.0298512,0.0143063
0,0.0268661,0.0128263
0,0.0427867,0.0202261
0,0.0378115,0.0187462
0,0.0527371,0.026146
0,0.049752,0.024666
0,0.0636826,0.0320658
0,0.0616925,0.0305858
0,0.0796032,0.0379856
0,0.073633,0.0365057
0,0.0885586,0.0434122
0,0.0825883,0.0424255
0,0.098509,0.0488387
0,0.100499,0.0483454
0,0.0835834,0.0414389
0,0.0905486,0.0429188
0,0.0706478,0.0360124
0,0.074628,0.036999
0,0.0597024,0.0295992
0,0.0646776,0.0310792
0,0.0467669,0.0236794
0,0.050747,0.0251593
0,0.0358214,0.0182528
0,0.0417917,0.0192395
0,0.024876,0.012333
0,0.0298512,0.0133196
0,0.0139306,0.00641316
0,0.0179107,0.0073998
0,0.00099504,0.00049332
0,0.00398016,0.00147996
0,-0.0099504,-0.00591984
0,-0.00696528,-0.00443988
0,-0.0228859,-0.0113464
0,-0.0189058,-0.0098664
0,-0.0338314,-0.0172662
0,-0.0308462,-0.0162796
0,-0.0467669,-0.023186
0,-0.0517421,-0.0256526
0,-0.0398016,-0.0212128
0,-0.0437818,-0.0221994
0,-0.0298512,-0.0152929
0,-0.0328363,-0.0167729
0,-0.0159206,-0.00937308
0,-0.0208958,-0.010853
0,-0.00398016,-0.00345324
0,-0.00895536,-0.0049332
0,0.00895536,0.0024666
0,0.00199008,0.00049332
0,0.0179107,0.00838644
0,0.0139306,0.00690648
0,0.0298512,0.0143063
0,0.024876,0.0128263
0,0.0407966,0.0202261
0,0.0378115,0.0187462
0,0.0527371,0.026146
0,0.049752,0.0241727
0,0.0646776,0.0315725
0,0.0606974,0.0305858
0,0.0776131,0.0374923
0,0.0726379,0.0365057
0,0.0885586,0.0434122
0,0.0855734,0.0424255
0,0.099504,0.049332
0,0.0975139,0.0488387
0,0.0845784,0.0414389
0,0.0875635,0.0429188
0,0.0716429,0.0360124
0,0.074628,0.036999
0,0.0587074,0.0300925
0,0.0646776,0.0310792
0,0.048757,0.0241727
0,0.0527371,0.0251593
0,0.0368165,0.0182528
0,0.0398016,0.0192395
0,0.024876,0.0118397
0,0.0278611,0.0133196
0,0.0129355,0.00641316
0,0.0169157,0.0073998
0,0.00099504,0.00049332
0,0.00398016,0.00147996
0,-0.0109454,-0.00542652
0,-0.00796032,-0.00443988
0,-0.0228859,-0.0118397
0,-0.0189058,-0.0103597
0,-0.0348264,-0.0172662
0,-0.0308462,-0.0162796
0,-0.0457718,-0.023186
0,-0.0517421,-0.0256526
0,-0.0398016,-0.0212128
0,-0.0437818,-0.0226927
0,-0.0278611,-0.0147996
0,-0.0318413,-0.0167729
0,-0.0179107,-0.00937308
0,-0.0228859,-0.0103597
0,-0.0049752,-0.00345324
0,-0.00895536,-0.0049332
0,0.00597024,0.0024666
0,0.00099504,0.00098664
0,0.0179107,0.00838644
0,0.0139306,0.00690648
0,0.0298512,0.0143063
0,0.0268661,0.0128263
0,0.0407966,0.0202261
0,0.0378115,0.0187462
0,0.0537322,0.026146
0,0.049752,0.0241727
0,0.0646776,0.0315725
0,0.0597024,0.0305858
0,0.0796032,0.0374923
0,0.0716429,0.0365057
0,0.0875635,0.0434122
0,0.0855734,0.0424255
0,0.099504,0.049332
0,0.0975139,0.0488387
0,0.0805982,0.0414389
0,0.0865685,0.0429188
0,0.0706478,0.0360124
0,0.075623,0.036999
0,0.0606974,0.0300925
0,0.0646776,0.0310792
0,0.0477619,0.0236794
0,0.0517421,0.0251593
0,0.0368165,0.0182528
0,0.0398016,0.0192395
0,0.024876,0.012333
0,0.0298512,0.0133196
0,0.0139306,0.00641316
0,0.0169157,0.0073998
0,0,0.00049332
0,0.00398016,0.00147996
0,-0.0119405,-0.00542652
0,-0.00597024,-0.00394656
0,-0.0228859,-0.0113464
0,-0.0179107,-0.0098664
0,-0.0338314,-0.0172662
0,-0.0298512,-0.0162796
0,-0.0457718,-0.023186
0,-0.0527371,-0.0256526
0,-0.0398016,-0.0212128
0,-0.0437818,-0.0226927
0,-0.0288562,-0.0152929
0,-0.0318413,-0.0167729
0,-0.0159206,-0.00937308
0,-0.023881,-0.0113464
0,-0.0049752,-0.00394656
0,-0.00895536,-0.0049332
0,0.00597024,0.00197328
0,0.00199008,0.00147996
0,0.0179107,0.00838644
0,0.0129355,0.00690648
0,0.0298512,0.0143063
0,0.0268661,0.0128263
0,0.0407966,0.0207194
0,0.0378115,0.0187462
0,0.0527371,0.026146
0,0.0477619,0.024666
0,0.0666677,0.0320658
0,0.0606974,0.0305858
0,0.0786082,0.0374923
0,0.0726379,0.0360124
0,0.0885586,0.0439055
0,0.0855734,0.0424255
0,0.101494,0.049332
0,0.098509,0.0483454
0,0.0835834,0.0414389
0,0.0875635,0.0429188
0,0.0706478,0.035519
0,0.074628,0.036999
0,0.0577123,0.0295992
0,0.0636826,0.0310792
0,0.048757,0.0236794
0,0.0517421,0.0251593
0,0.0358214,0.0177595
0,0.0407966,0.0197328
0,0.024876,0.012333
0,0.0288562,0.0133196
0,0.0129355,0.00641316
0,0.0169157,0.0073998
0,0.00099504,0
0,0.00398016,0.00147996
0,-0.0119405,-0.00542652
0,-0.00696528,-0.00443988
0,-0.0218909,-0.0113464
0,-0.0179107,-0.0098664
0,-0.0338314,-0.0172662
0,-0.0318413,-0.0162796
0,-0.0457718,-0.023186
0,-0.0517421,-0.0256526
0,-0.0398016,-0.0212128
0,-0.0437818,-0.0226927
0,-0.0288562,-0.0152929
0,-0.0328363,-0.0167729
0,-0.0179107,-0.00937308
0,-0.0208958,-0.010853
0,-0.00597024,-0.00345324
0,-0.00895536,-0.00542652
0,0.0049752,0.0024666
0,0.00298512,0.00098664
0,0.0189058,0.00838644
0,0.0149256,0.00690648
0,0.0288562,0.0143063
0,0.0268661,0.0128263
0,0.0417917,0.0197328
0,0.0378115,0.0187462
0,0.0537322,0.026146
0,0.049752,0.024666
0,0.0656726,0.0315725
0,0.0606974,0.0305858
0,0.0776131,0.0379856
0,0.073633,0.0365057
0,0.0885586,0.0434122
0,0.0845784,0.0424255
0,0.099504,0.049332
0,0.0975139,0.0488387
0,0.0835834,0.0414389
0,0.0865685,0.0429188
0,0.0716429,0.035519
0,0.075623,0.036999
0,0.0606974,0.0300925
0,0.0626875,0.0310792
0,0.0477619,0.0236794
0,0.050747,0.0251593
0,0.0358214,0.0182528
0,0.0407966,0.0192395
0,0.024876,0.0118397
0,0.0278611,0.0133196
0,0.0109454,0.00641316
0,0.0159206,0.0073998
0,0.00099504,0
0,0.00796032,0.00147996
0,-0.0109454,-0.00542652
0,-0.00696528,-0.00443988
0,-0.0218909,-0.0113464
0,-0.0189058,-0.0098664
0,-0.0348264,-0.0172662
0,-0.0298512,-0.0162796
0,-0.0467669,-0.0236794
0,-0.050747,-0.026146
0,-0.0407966,-0.0212128
0,-0.0447768,-0.0221994
0,-0.0278611,-0.0152929
0,-0.0348264,-0.0167729
0,-0.0169157,-0.00937308
0,-0.0218909,-0.010853
0,-0.00597024,-0.00345324
0,-0.0099504,-0.0049332
0,0.0049752,0.0024666
0,0.00298512,0.00098664
0,0.0199008,0.00838644
0,0.0149256,0.0073998
0,0.0308462,0.0143063
0,0.025871,0.0128263
0,0.0407966,0.0202261
0,0.0378115,0.0187462
0,0.0527371,0.026146
0,0.048757,0.0251593
0,0.0646776,0.0320658
0,0.0626875,0.0305858
0,0.0766181,0.0379856
0,0.0716429,0.0360124
0,0.0895536,0.0434122
0,0.0845784,0.0424255
0,0.099504,0.049332
0,0.098509,0.0488387
0,0.0835834,0.0414389
0,0.0865685,0.0429188
0,0.0726379,0.0360124
0,0.075623,0.036999
0,0.0606974,0.0300925
0,0.0636826,0.0310792
0,0.0477619,0.0241727
0,0.0517421,0.0251593
0,0.0368165,0.0182528
0,0.0398016,0.0192395
0,0.0228859,0.0118397
0,0.0278611,0.013813
0,0.0129355,0.00641316
0,0.0169157,0.00789312
0,0.00199008,0.00049332
0,0.00398016,0.00147996
0,-0.0099504,-0.00591984
0,-0.00796032,-0.00443988
0,-0.0228859,-0.0113464
0,-0.0199008,-0.0098664
0,-0.0338314,-0.0172662
0,-0.0308462,-0.0157862
0,-0.0467669,-0.023186
0,-0.0517421,-0.0256526
0,-0.0417917,-0.0212128
0,-0.0447768,-0.0221994
0,-0.0298512,-0.0152929
0,-0.0348264,-0.0162796
0,-0.0179107,-0.00937308
0,-0.0208958,-0.010853
0,-0.0049752,-0.00345324
0,-0.00796032,-0.0049332
0,0.00597024,0.0024666
0,0,0.00098664
0,0.0179107,0.00838644
0,0.0149256,0.00690648
0,0.0318413,0.0143063
0,0.025871,0.0128263
0,0.0447768,0.0202261
0,0.0368165,0.0187462
0,0.0527371,0.026146
0,0.048757,0.024666
0,0.0676627,0.0320658
0,0.0606974,0.0305858
0,0.0766181,0.0374923
0,0.073633,0.0365057
0,0.0895536,0.0434122
0,0.0855734,0.0424255
0,0.099504,0.049332
0,0.099504,0.0488387
0,0.0835834,0.0414389
0,0.0865685,0.0429188
0,0.0716429,0.035519
0,0.0786082,0.036999
0,0.0587074,0.0300925
0,0.0626875,0.0310792
0,0.0477619,0.0241727
0,0.0527371,0.0251593
0,0.0358214,0.0177595
0,0.0398016,0.0197328
0,0.0228859,0.012333
0,0.0288562,0.0133196
0,0.0129355,0.00641316
0,0.0179107,0.0073998
0,0.00199008,0
0,0.0049752,0.00147996
0,-0.0099504,-0.00591984
0,-0.00597024,-0.00443988
0,-0.0228859,-0.0113464
0,-0.0179107,-0.0103597
0,-0.0358214,-0.0172662
0,-0.0308462,-0.0162796
0,-0.0447768,-0.023186
0,-0.0517421,-0.0256526
0,-0.0398016,-0.0212128
0,-0.0457718,-0.0226927
0,-0.0298512,-0.0152929
0,-0.0328363,-0.0162796
0,-0.0179107,-0.00937308
0,-0.0208958,-0.010853
0,-0.0049752,-0.00394656
0,-0.00895536,-0.0049332
0,0.00696528,0.00197328
0,0.00298512,0.00098664
0,0.0189058,0.00838644
0,0.0139306,0.00690648
0,0.0298512,0.0143063
0,0.0268661,0.0128263
0,0.0417917,0.0202261
0,0.0378115,0.0187462
0,0.0527371,0.0256526
0,0.049752,0.024666
0,0.0656726,0.0315725
0,0.0616925,0.0305858
0,0.0766181,0.0379856
0,0.0726379,0.0365057
0,0.0885586,0.0434122
0,0.0855734,0.0424255
0,0.098509,0.049332
0,0.098509,0.0488387
0,0.0835834,0.0409456
0,0.0855734,0.0429188
0,0.0706478,0.035519
0,0.074628,0.036999
0,0.0587074,0.0300925
0,0.0626875,0.0310792
0,0.0477619,0.0241727
0,0.050747,0.0251593
0,0.0358214,0.0177595
0,0.0417917,0.0192395
0,0.024876,0.012333
0,0.0298512,0.0133196
0,0.0119405,0.00641316
0,0.0159206,0.0073998
0,0.00099504,0.00049332
0,0.0049752,0.00147996
0,-0.0099504,-0.00542652
0,-0.00696528,-0.00443988
0,-0.024876,-0.0113464
0,-0.0189058,-0.0098664
0,-0.0358214,-0.0172662
0,-0.0298512,-0.0162796
0,-0.0457718,-0.023186
0,-0.0417917,-0.0256526
0,-0.050747,-0.0212128
0,-0.0437818,-0.0226927
0,-0.0288562,-0.0152929
0,-0.0328363,-0.0167729
0,-0.0179107,-0.00937308
0,-0.0208958,-0.010853
0,-0.00597024,-0.00345324
0,-0.00796032,-0.0049332
0,0.00796032,0.0024666
0,0.00298512,0.00098664
0,0.0199008,0.00838644
0,0.0129355,0.00690648
0,0.0298512,0.0143063
0,0.025871,0.0128263
0,0.0437818,0.0202261
0,0.0378115,0.0187462
0,0.0527371,0.026146
0,0.049752,0.0241727
0,0.0656726,0.0320658
0,0.0616925,0.0305858
0,0.0776131,0.0379856
0,0.0716429,0.0365057
0,0.0885586,0.0434122
0,0.0835834,0.0424255
0,0.098509,0.049332
0,0.098509,0.0488387
0,0.0835834,0.0414389
0,0.0875635,0.0429188
0,0.0686578,0.035519
0,0.075623,0.036999
0,0.0606974,0.0295992
0,0.0626875,0.0310792
0,0.0457718,0.0241727
0,0.050747,0.0251593
0,0.0368165,0.0182528
0,0.0407966,0.0192395
0,0.024876,0.012333
0,0.0278611,0.0133196
0,0.0139306,0.00641316
0,0.0159206,0.0073998
0,0,0.00049332
0,0.00597024,0.00147996
0,-0.0109454,-0.00542652
0,-0.00696528,-0.00443988
0,-0.0228859,-0.0113464
0,-0.0199008,-0.0098664
0,-0.0338314,-0.0172662
0,-0.0298512,-0.0162796
0,-0.0447768,-0.023186
0,-0.0537322,-0.0256526
0,-0.0398016,-0.0212128
0,-0.0437818,-0.0221994
0,-0.0268661,-0.0152929
0,-0.0338314,-0.0167729
0,-0.0169157,-0.00937308
0,-0.0208958,-0.0103597
0,-0.00398016,-0.00394656
0,-0.00895536,-0.0049332
0,0.00597024,0.00197328
0,0,0.00098664
0,0.0179107,0.00838644
0,0.0149256,0.00690648
0,0.0308462,0.0143063
0,0.0268661,0.0128263
0,0.0407966,0.0202261
0,0.0378115,0.0187462
0,0.0517421,0.0256526
0,0.049752,0.024666
0,0.0656726,0.0315725
0,0.0616925,0.0305858
0,0.0766181,0.0379856
0,0.0726379,0.0365057
0,0.0885586,0.0434122
0,0.0825883,0.0419322
0,0.100499,0.049332
0,0.098509,0.0483454
0,0.0835834,0.0414389
0,0.0885586,0.0429188
0,0.0716429,0.035519
0,0.074628,0.036999
0,0.0577123,0.0300925
0,0.0626875,0.0310792
0,0.048757,0.0241727
0,0.0517421,0.0251593
0,0.0368165,0.0177595
0,0.0398016,0.0192395
0,0.024876,0.012333
0,0.0278611,0.013813
0,0.0129355,0.00641316
0,0.0169157,0.0073998
0,0.00099504,0.00049332
0,0.00597024,0.00147996
0,-0.0119405,-0.00542652
0,-0.00696528,-0.00443988
0,-0.0228859,-0.0113464
0,-0.0179107,-0.0103597
0,-0.0338314,-0.0172662
0,-0.0288562,-0.0162796
0,-0.0457718,-0.023186
0,-0.0517421,-0.026146
0,-0.0398016,-0.0212128
0,-0.0457718,-0.0221994
0,-0.0298512,-0.0152929
0,-0.0318413,-0.0167729
0,-0.0159206,-0.00937308
0,-0.0208958,-0.010853
0,-0.00597024,-0.00394656
0,-0.0109454,-0.0049332
0,0.0049752,0.0024666
0,0.00199008,0.00098664
0,0.0199008,0.00838644
0,0.0149256,0.00690648
0,0.0298512,0.0143063
0,0.025871,0.0133196
0,0.0427867,0.0202261
0,0.0378115,0.0187462
0,0.0537322,0.026146
0,0.049752,0.024666
0,0.0646776,0.0315725
0,0.0606974,0.0305858
0,0.0766181,0.0379856
0,0.0716429,0.0365057
0,0.0885586,0.0434122
0,0.0845784,0.0424255
0,0.100499,0.049332
0,0.098509,0.0483454
0,0.0825883,0.0414389
0,0.0875635,0.0429188
0,0.0706478,0.0360124
0,0.074628,0.036999
0,0.0606974,0.0295992
0,0.0626875,0.0310792
0,0.0477619,0.0236794
0,0.050747,0.0251593
0,0.0348264,0.0177595
0,0.0398016,0.0192395
0,0.024876,0.012333
0,0.0308462,0.013813
0,0.0129355,0.00641316
0,0.0159206,0.0073998
0,0.00099504,0.00049332
0,0.00398016,0.00147996
0,-0.0099504,-0.00542652
0,-0.00696528,-0.00443988
0,-0.023881,-0.0113464
0,-0.0189058,-0.0098664
0,-0.0338314,-0.0172662
0,-0.0308462,-0.0162796
0,-0.0467669,-0.023186
0,-0.0398016,-0.0256526
0,-0.050747,-0.0212128
0,-0.0437818,-0.0221994
0,-0.0298512,-0.0152929
0,-0.0328363,-0.0167729
0,-0.0169157,-0.00937308
0,-0.0208958,-0.010853
0,-0.0049752,-0.00295992
0,-0.00895536,-0.0049332
0,0.00597024,0.0024666
0,0.00199008,0.00098664
0,0.0179107,0.00838644
0,0.0149256,0.0073998
0,0.0298512,0.013813
0,0.025871,0.0128263
0,0.0427867,0.0202261
0,0.0378115,0.0187462
0,0.0527371,0.026146
0,0.048757,0.024666
0,0.0646776,0.0315725
0,0.0606974,0.0305858
0,0.0766181,0.0379856
0,0.073633,0.0365057
0,0.0885586,0.0434122
0,0.0845784,0.0424255
0,0.099504,0.049332
0,0.098509,0.0488387
0,0.0815933,0.0414389
0,0.0855734,0.0429188
0,0.0716429,0.035519
0,0.075623,0.036999
0,0.0597024,0.0300925
0,0.0646776,0.0310792
0,0.0477619,0.0236794
0,0.050747,0.0251593
0,0.0368165,0.0177595
0,0.0398016,0.0192395
0,0.023881,0.0118397
0,0.0298512,0.0133196
